request arrival cycle, request accepted cycle, ptw_idx, npu_idx
41449, 60249, 4, 0
41449, 60249, 5, 0
41449, 60249, 6, 0
41449, 60249, 7, 0
41449, 60649, 0, 0
41449, 60649, 1, 0
41449, 60649, 2, 0
41449, 60649, 3, 0
41449, 60649, 4, 0
41449, 60649, 5, 0
41449, 60649, 6, 0
41449, 60649, 7, 0
41449, 61049, 0, 0
41449, 61049, 1, 0
41449, 61049, 2, 0
41449, 61049, 3, 0
41449, 61049, 4, 0
41449, 61049, 5, 0
41449, 61049, 6, 0
41449, 61049, 7, 0
41449, 61449, 0, 0
41449, 61449, 1, 0
41449, 61449, 2, 0
41449, 61449, 3, 0
41449, 61449, 4, 0
41449, 61449, 5, 0
41449, 61449, 6, 0
41449, 61449, 7, 0
41449, 61849, 0, 0
41449, 61849, 1, 0
41449, 61849, 2, 0
41449, 61849, 3, 0
41449, 61849, 4, 0
41449, 61849, 5, 0
41449, 61849, 6, 0
41449, 61849, 7, 0
41449, 62249, 0, 0
41449, 62249, 1, 0
41449, 62249, 2, 0
41449, 62249, 3, 0
41449, 62249, 4, 0
41449, 62249, 5, 0
41449, 62249, 6, 0
41449, 62249, 7, 0
41449, 62649, 0, 0
41449, 62649, 1, 0
41449, 62649, 2, 0
41449, 62649, 3, 0
41449, 62649, 4, 0
41449, 62649, 5, 0
41449, 62649, 6, 0
41449, 62649, 7, 0
41449, 63049, 0, 0
41449, 63049, 1, 0
41449, 63049, 2, 0
41449, 63049, 3, 0
41449, 63049, 4, 0
41449, 63049, 5, 0
41449, 63049, 6, 0
41449, 63049, 7, 0
41449, 63449, 0, 0
41449, 63449, 1, 0
41449, 63449, 2, 0
41449, 63449, 3, 0
41449, 63449, 4, 0
41449, 63449, 5, 0
41449, 63449, 6, 0
41449, 63449, 7, 0
41449, 63849, 0, 0
41449, 63849, 1, 0
41449, 63849, 2, 0
41449, 63849, 3, 0
41449, 63849, 4, 0
41449, 63849, 5, 0
41449, 63849, 6, 0
41449, 63849, 7, 0
41449, 64249, 0, 0
41449, 64249, 1, 0
41449, 64249, 2, 0
41449, 64249, 3, 0
41449, 64249, 4, 0
41449, 64249, 5, 0
41449, 64249, 6, 0
41449, 64249, 7, 0
41449, 64649, 0, 0
41449, 64649, 1, 0
41449, 64649, 2, 0
41449, 64649, 3, 0
41449, 64649, 4, 0
41449, 64649, 5, 0
41449, 64649, 6, 0
41449, 64649, 7, 0
41449, 65049, 0, 0
41449, 65049, 1, 0
41449, 65049, 2, 0
41449, 65049, 3, 0
41449, 65049, 4, 0
41449, 65049, 5, 0
41449, 65049, 6, 0
41449, 65049, 7, 0
41449, 65449, 0, 0
41449, 65449, 1, 0
41449, 65449, 2, 0
41449, 65449, 3, 0
41449, 65449, 4, 0
41449, 65449, 5, 0
41449, 65449, 6, 0
41449, 65449, 7, 0
41449, 65849, 0, 0
41449, 65849, 1, 0
41449, 65849, 2, 0
41449, 65849, 3, 0
41449, 65849, 4, 0
41449, 65849, 5, 0
41449, 65849, 6, 0
41449, 65849, 7, 0
41449, 66249, 0, 0
41449, 66249, 1, 0
41449, 66249, 2, 0
41449, 66249, 3, 0
41449, 66249, 4, 0
41449, 66249, 5, 0
41449, 66249, 6, 0
